No,Gender,Marital status,Age,Education,Position,AC1,AC2,AC3,AC4,AC5,AC6,CC1,CC2,CC3,CC4,CC5,CC6,NC1,NC2,NC3,NC4,NC5,NC6,OCB1,OCB2,OCB3,OCB4,OCB5,OCB6,OCB7,OCB8,JP1,JP2,JP3,JP4
310,Male,Married,46-55,University,Worker,5,5,5,6,6,6,5,5,5,5,5,5,3,4,5,3,3,4,6,6,6,6,4,2,5,5,5,4,6,5
311,Male,Married,36-45,University,Manager/Leader,5,5,5,5,3,5,6,7,6,6,6,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
312,Male,Married,36-45,University,Employee,6,6,5,5,5,5,6,6,5,5,5,5,6,5,6,5,6,6,7,7,6,7,7,6,7,7,5,6,5,5
313,Male,Married,36-45,University,Manager/Leader,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,6,6,5,6,5,5,5,5,5,5,6,5
314,Male,Married,46-55,University,Worker,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
315,Male,Married,36-45,College,Manager/Leader,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,5,6,6,5,6,5,5,6,4,5,5,4,4
316,Male,Married,36-45,University,Manager/Leader,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,6,6,7,6,6,6,6,6,6,6,6,5,5,6,6
317,Male,Married,36-45,University,Employee,4,5,5,4,3,4,4,3,2,3,3,1,3,4,5,2,2,4,6,3,5,6,1,3,4,4,6,5,3,3
318,Male,Married,46-55,University,Worker,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,4
319,Male,Married,25-35,College,Manager/Leader,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
320,Male,Married,>55,Master,Worker,4,4,4,4,4,4,5,4,4,4,5,4,5,5,5,4,5,6,4,5,4,4,4,4,4,4,4,4,4,4
321,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,5,5,5,5,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,6,6,5,6,4,5,5,6,6,6,6
322,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,5,4,5,4,5,5,5,5,6,6,6,5,5,5,5,5,5,5,6,5,5,4,5,5,6,5,5,6,6
323,Male,Married,46-55,University,Worker,6,6,6,5,6,5,7,7,7,7,7,7,6,5,6,6,6,6,7,7,7,6,7,5,6,6,7,6,6,5
324,Male,Married,36-45,University,Manager/Leader,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,5,7,6,6,7,6,6,6
325,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,6,5,5,6,5,6,3,3,1,2,2,3,3,3,3,3,4,4,2,2,4,2,3,2,2,2,3,5,2,4
326,Male,Married,36-45,University,Manager/Leader,3,2,2,3,5,5,5,5,5,5,6,5,4,4,5,3,4,5,5,4,3,6,6,4,5,2,5,4,2,3
327,Male,Married,46-55,University,Worker,5,5,5,4,5,4,1,3,2,1,2,5,5,5,1,1,3,3,2,1,7,2,1,1,1,1,2,5,4,2
328,Male,Married,36-45,University,Employee,6,6,6,5,5,6,5,5,5,5,6,5,6,5,6,4,5,5,5,6,5,4,4,4,3,3,5,5,4,4
329,Male,Married,46-55,University,Worker,5,6,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,7,7,4,6,6,6,6,6,5
330,Male,Married,46-55,University,Worker,5,5,5,5,5,6,6,7,7,6,7,7,4,4,6,6,6,5,5,5,6,5,5,4,6,5,5,6,5,5
331,Female,Married,25-35,College,Manager/Leader,5,5,5,4,4,5,6,6,6,6,6,6,4,5,5,5,6,4,5,5,5,5,4,4,4,4,5,6,4,5
332,Male,Married,36-45,University,Employee,5,5,4,5,3,4,5,4,4,4,4,4,5,4,4,4,5,4,6,6,4,4,4,5,5,4,5,6,3,4
333,Male,Married,46-55,University,Employee,7,7,7,7,7,7,7,6,5,5,5,5,6,6,6,5,6,7,5,5,5,6,5,5,6,6,5,5,6,6
334,Male,Married,>55,University,Worker,5,5,5,5,5,5,6,5,6,6,5,6,6,5,5,3,3,4,6,6,6,5,4,5,5,5,6,4,3,5
335,Male,Married,36-45,University,Manager/Leader,5,4,3,4,3,1,4,4,2,2,2,3,4,3,4,4,5,3,7,7,7,4,1,3,3,3,5,5,4,4
336,Male,Married,46-55,University,Worker,5,6,6,6,6,6,4,4,5,6,4,5,6,3,6,3,4,3,7,7,7,7,1,7,7,7,5,6,5,5
