ID;X1_1;X1_2;X1_3;X1_4;X1_5;X1_6;X1_7;X2_1;X2_2;X2_3;X2_4;X2_5;X3_1;X3_2;X3_3;X3_4;X3_5;X3_6;Y_1;Y_2;Y_3;Y_4;Y_5;Y_6;Y_7;Y_8;Y_9;Y_10
122;1;2;1;2;1;2;2;3;2;3;4;3;3;3;3;3;3;4;2;2;3;2;2;2;1;2;2;2
123;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2;2;4;2;2;3;3;3;2;3;3
124;3;3;4;3;4;3;3;2;2;2;2;1;2;3;2;2;2;2;4;4;3;5;4;4;5;3;5;4
125;2;2;2;3;2;2;2;2;3;3;2;2;3;2;2;1;2;2;3;2;1;2;1;2;2;3;1;2
126;2;1;2;3;2;2;2;4;5;4;4;4;3;3;3;2;2;1;3;3;3;3;4;3;3;3;3;3
127;4;5;3;4;4;4;4;4;4;3;5;4;3;3;3;3;2;4;2;2;2;2;3;2;1;3;2;2
128;3;3;3;4;2;3;3;4;4;4;4;4;2;2;2;2;2;2;4;3;4;4;5;5;5;4;4;4
129;2;2;3;4;4;3;4;2;3;2;2;2;3;3;2;3;3;2;3;3;3;3;3;4;4;3;2;3
130;2;3;2;3;1;2;2;2;2;1;2;2;1;1;3;1;2;1;3;3;4;4;4;4;5;5;5;4
131;2;2;1;2;3;2;3;2;2;2;2;2;1;2;2;1;3;2;4;4;4;4;4;4;4;4;4;4
132;4;3;3;3;3;3;3;2;2;3;1;3;4;3;4;5;4;4;3;2;4;3;3;3;4;3;3;4
133;3;3;3;3;3;3;2;2;3;3;3;3;2;2;2;2;2;2;4;3;4;4;4;4;5;4;4;5
134;4;4;4;4;3;4;3;2;2;2;1;3;2;2;2;2;2;2;4;3;3;3;3;4;4;2;2;3
135;4;4;5;3;5;4;3;3;3;3;2;4;4;4;3;3;3;4;2;3;3;3;3;3;3;3;3;3
136;3;3;3;3;3;3;4;5;5;5;4;4;5;4;4;4;4;4;3;3;2;2;3;3;4;3;3;3
137;4;4;5;4;3;3;4;2;3;3;3;3;5;4;4;3;4;5;1;2;2;2;2;1;3;2;2;2
138;3;3;3;2;2;3;2;3;3;3;3;3;2;3;1;3;2;2;4;2;3;3;2;3;3;3;3;3
139;3;3;3;2;3;4;3;4;4;4;5;5;4;4;3;4;5;3;1;2;1;2;2;1;2;2;1;2
140;4;3;2;4;3;3;2;2;2;1;2;2;3;4;4;4;4;5;2;2;1;2;2;1;1;2;4;2
141;2;2;1;2;2;1;2;3;3;3;3;3;3;2;4;3;3;1;3;3;3;3;2;3;3;3;3;4
